Date,ClarkSea Index $/day [SIN 60351]
2005-02-04,33039.28765
2005-02-11,32529.9213
2005-02-18,32647.05236
2005-02-25,33379.90278
2005-03-04,32218.74647
2005-03-11,32357.10993
2005-03-18,33925.98928
2005-03-25,33470.74505
2005-04-01,31353.55985
2005-04-08,29976.57017
2005-04-15,30511.49201
2005-04-22,29618.12125
2005-04-29,28003.41154
2005-05-06,27762.37405
2005-05-13,27051.57272
2005-05-20,26064.69833
2005-05-27,25039.7501
2005-06-03,24172.4727
2005-06-10,23505.24804
2005-06-17,22892.10363
2005-06-24,22921.78194
2005-07-01,23087.58215
2005-07-08,22441.53816
2005-07-15,21668.17837
2005-07-22,20834.86424
2005-07-29,20043.58786
2005-08-05,18917.93757
2005-08-12,19242.66773
2005-08-19,21431.42608
2005-08-26,22259.29888
2005-09-02,22721.90606
2005-09-09,24826.22394
2005-09-16,25875.41587
2005-09-23,26218.57429
2005-09-30,26284.19155
2005-10-07,28404.84008
2005-10-14,29421.37689
2005-10-21,30800.40275
2005-10-28,31258.03734
2005-11-04,30705.77343
2005-11-11,29720.99349
2005-11-18,28821.28248
2005-11-25,28256.34452
2005-12-02,27517.91244
2005-12-09,26588.13987
2005-12-16,27277.33021
2005-12-23,28280.77429
2005-12-30,27097.58433
2006-01-06,28720.0297
2006-01-13,26731.69464
2006-01-20,26125.64543
2006-01-27,27585.97732
2006-02-03,25720.58613
2006-02-10,24414.23415
2006-02-17,24480.65183
2006-02-24,22105.65516
2006-03-03,21255.11312
2006-03-10,20862.4556
2006-03-17,21475.07127
2006-03-24,20811.03992
2006-03-31,19632.78698
2006-04-07,18963.91153
2006-04-14,19359.82734
2006-04-21,20521.72063
2006-04-28,21004.19285
2006-05-05,21934.06797
2006-05-12,22912.93886
2006-05-19,23122.17752
2006-05-26,22538.38777
2006-06-02,22243.58294
2006-06-09,23422.41348
2006-06-16,24381.86947
2006-06-23,25674.29897
2006-06-30,25410.89988
2006-07-07,26138.41801
2006-07-14,26499.36395
2006-07-21,27315.49653
2006-07-28,27121.10116
2006-08-04,26193.2568
2006-08-11,28233.84747
2006-08-18,29139.34172
2006-08-25,28913.31773
2006-09-01,27308.21419
2006-09-08,26835.76883
2006-09-15,27324.85631
2006-09-22,27058.38466
2006-09-29,26204.39304
2006-10-06,25069.94339
2006-10-13,24807.18127
2006-10-20,24897.73437
2006-10-27,24080.881
2006-11-03,23482.02164
2006-11-10,23258.56487
2006-11-17,23227.4134
2006-11-24,23363.34487
2006-12-01,23555.9753
2006-12-08,24711.3815
2006-12-15,28324.42026
2006-12-22,27775.47377
2006-12-29,28082.31157
2007-01-05,27886.6127
2007-01-12,27344.25761
2007-01-19,27012.17758
2007-01-26,26347.65328
2007-02-02,25596.73623
2007-02-09,25406.57125
2007-02-16,26352.21709
2007-02-23,26864.04472
2007-03-02,27143.47974
2007-03-09,27903.14313
2007-03-16,28731.3241
2007-03-23,30297.798
2007-03-30,30918.38669
2007-04-06,29734.80627
2007-04-13,28791.23802
2007-04-20,29506.07035
2007-04-27,30746.04963
2007-05-04,31661.94934
2007-05-11,33460.45596
2007-05-18,32075.69477
2007-05-25,31466.72113
2007-06-01,30814.07422
2007-06-08,29677.88027
2007-06-15,28448.35168
2007-06-22,28825.86488
2007-06-29,29036.72192
2007-07-06,29561.59396
2007-07-13,30881.27016
2007-07-20,30968.04379
2007-07-27,31618.45509
2007-08-03,31103.77683
2007-08-10,30650.73955
2007-08-17,30976.63302
2007-08-24,31176.77606
2007-08-31,31051.46699
2007-09-07,33033.03402
2007-09-14,33811.27093
2007-09-21,35010.63866
2007-09-28,35975.73244
2007-10-05,34917.82039
2007-10-12,36973.19296
2007-10-19,39031.14095
2007-10-26,39815.69314
2007-11-02,38706.47594
2007-11-09,39182.05409
2007-11-16,40510.39987
2007-11-23,41478.05341
2007-11-30,46726.77734
2007-12-07,46900.16381
2007-12-14,50714.07871
2007-12-21,48999.46652
2007-12-28,47360.5276
2008-01-04,43116.70969
2008-01-11,37588.1224
2008-01-18,33291.45667
2008-01-25,30305.65964
2008-02-01,30494.53355
2008-02-08,30371.49545
2008-02-15,31702.50868
2008-02-22,31713.6174
2008-02-29,33187.69762
2008-03-07,34508.62478
2008-03-14,33891.69055
2008-03-21,36324.38412
2008-03-28,35955.15316
2008-04-04,33545.88529
2008-04-11,35124.39948
2008-04-18,40036.11507
2008-04-25,42598.78509
2008-05-02,42617.73574
2008-05-09,44091.72043
2008-05-16,49250.65006
2008-05-23,50401.7147
2008-05-30,49846.73001
2008-06-06,48684.80798
2008-06-13,46202.75391
2008-06-20,46589.07421
2008-06-27,45899.34319
2008-07-04,43835.90986
2008-07-11,43847.35959
2008-07-18,45188.79262
2008-07-25,46151.98717
2008-08-01,41124.13215
2008-08-08,35895.64131
2008-08-15,35553.63134
2008-08-22,34567.50467
2008-08-29,34594.94057
2008-09-05,30565.50548
2008-09-12,28832.65392
2008-09-19,29712.16948
2008-09-26,25836.9904
2008-10-03,22651.42353
2008-10-10,19169.08733
2008-10-17,17482.88718
2008-10-24,16679.10982
2008-10-31,15887.12465
2008-11-07,14222.12377
2008-11-14,14342.21265
2008-11-21,13752.64244
2008-11-28,13531.60066
2008-12-05,15152.37755
2008-12-12,14642.94714
2008-12-19,14090.2272
2008-12-26,13653.04102
2009-01-02,12459.02942
2009-01-09,10706.56192
2009-01-16,10548.07803
2009-01-23,10561.89337
2009-01-30,10126.56257
2009-02-06,11081.85169
2009-02-13,11828.02851
2009-02-20,12672.20975
2009-02-27,12444.84266
2009-03-06,12729.18402
2009-03-13,12224.31929
2009-03-20,10596.98734
2009-03-27,9530.02659
2009-04-03,8467.54977
2009-04-10,7443.61653
2009-04-17,7622.76675
2009-04-24,8829.95427
2009-05-01,8726.73514
2009-05-08,9153.23931
2009-05-15,9998.03872
2009-05-22,10354.83618
2009-05-29,11395.5059
2009-06-05,11895.79329
2009-06-12,12031.42467
2009-06-19,13966.16917
2009-06-26,13039.71872
2009-07-03,11986.85221
2009-07-10,11166.20818
2009-07-17,11016.66664
2009-07-24,11164.24192
2009-07-31,11427.96671
2009-08-07,10060.02435
2009-08-14,9807.97073
2009-08-21,9572.87116
2009-08-28,9695.43139
2009-09-04,9810.36928
2009-09-11,10109.68506
2009-09-18,10139.59072
2009-09-25,10654.19272
2009-10-02,10992.62111
2009-10-09,10955.9706
2009-10-16,10987.66471
2009-10-23,11090.91969
2009-10-30,11548.16369
2009-11-06,11656.81085
2009-11-13,14090.13244
2009-11-20,14642.03789
2009-11-27,14499.85995
2009-12-04,15778.62033
2009-12-11,15336.49513
2009-12-18,15055.89888
2009-12-25,15514.24913
2010-01-01,16068.62937
2010-01-08,16825.14948
2010-01-15,18436.3609
2010-01-22,18044.67388
2010-01-29,16195.19681
2010-02-05,14890.99722
2010-02-12,13889.66235
2010-02-19,13573.07376
2010-02-26,14175.44272
2010-03-05,14977.40688
2010-03-12,16227.52196
2010-03-19,17051.9193
2010-03-26,15892.49704
2010-04-02,15090.54146
2010-04-09,15024.32291
2010-04-16,15329.18295
2010-04-23,16369.27101
2010-04-30,17291.86307
2010-05-07,18691.14225
2010-05-14,19544.66303
2010-05-21,20685.92101
2010-05-28,19945.74691
2010-06-04,19107.52448
2010-06-11,18332.33101
2010-06-18,17169.66979
2010-06-25,16950.97202
2010-07-02,16071.13551
