Date,Average Aframax c.2010-built Earnings $/day [SIN 531168]
2019-11-29,52601.93895
2019-12-06,55097.53495
2019-12-13,67066.3744
2019-12-20,74412.00274
2019-12-27,73109.93499
2020-01-03,66153.71502
2020-01-10,62122.67539
2020-01-17,52246.03918
2020-01-24,53403.84405
2020-01-31,24388.50714
2020-02-07,22036.44255
2020-02-14,30103.30026
2020-02-21,29146.20924
2020-02-28,22554.8512
2020-03-06,26235.11417
2020-03-13,42942.82384
2020-03-20,59520.82094
2020-03-27,50069.17464
2020-04-03,54364.05205
2020-04-10,34897.28379
2020-04-17,35660.57534
2020-04-24,83921.22338
2020-05-01,52188.63701
2020-05-08,36954.40386
2020-05-15,38488.53787
2020-05-22,26958.92364
2020-05-29,22299.59813
2020-06-05,13189.4343
2020-06-12,9212.93273
2020-06-19,8329.88726
2020-06-26,7646.063
2020-07-03,7900.35545
2020-07-10,7972.22313
2020-07-17,12057.37796
2020-07-24,10527.34984
2020-07-31,10314.06335
2020-08-07,10786.39457
2020-08-14,10704.90452
2020-08-21,9266.64852
2020-08-28,9085.93203
2020-09-04,7163.27141
2020-09-11,6240.67566
2020-09-18,5221.641
2020-09-25,5839.38382
2020-10-02,5713.97088
2020-10-09,4394.8033
2020-10-16,4094.2426
2020-10-23,4931.76755
2020-10-30,5825.85171
2020-11-06,4728.09912
2020-11-13,5986.06249
2020-11-20,7831.39025
2020-11-27,9192.97583
2020-12-04,7098.12443
2020-12-11,3379.40675
2020-12-18,4610.77192
2020-12-25,6478.34174
2021-01-01,5404.87433
2021-01-08,4005.87937
2021-01-15,2877.1066
2021-01-22,2888.59451
2021-01-29,4105.44196
2021-02-05,3394.4636
2021-02-12,3803.39146
2021-02-19,14672.73023
2021-02-26,17253.44092
2021-03-05,14328.06757
2021-03-12,21948.04859
2021-03-19,22208.82124
2021-03-26,19961.04967
2021-04-02,15244.24457
2021-04-09,10101.90721
2021-04-16,4624.6246
2021-04-23,7451.56954
2021-04-30,7473.88727
2021-05-07,7580.59796
2021-05-14,7446.30793
2021-05-21,7450.04704
2021-05-28,7167.67434
2021-06-04,4438.31711
2021-06-11,4926.5421
2021-06-18,4894.63876
2021-06-25,10629.2921
2021-07-02,5356.05157
2021-07-09,2916.2046
2021-07-16,2412.47591
2021-07-23,3893.22429
2021-07-30,2964.89527
2021-08-06,2429.71951
2021-08-13,2887.7334
2021-08-20,3179.48709
2021-08-27,2975.99771
2021-09-03,4594.84822
2021-09-10,4687.77062
2021-09-17,4253.35624
2021-09-24,2672.87683
2021-10-01,4088.25077
2021-10-08,6598.36026
2021-10-15,9136.78844
2021-10-22,9878.65088
2021-10-29,14075.13706
2021-11-05,14168.05701
2021-11-12,15608.36513
2021-11-19,11479.73081
2021-11-26,7003.96047
2021-12-03,10563.04205
2021-12-10,12387.63921
2021-12-17,14280.51234
2021-12-24,13623.04948
2021-12-31,12407.67976
2022-01-07,11594.0136
2022-01-14,10485.3134
2022-01-21,9847.28539
2022-01-28,8740.33124
2022-02-04,7723.38314
2022-02-11,7479.86385
2022-02-18,10723.06705
2022-02-25,68402.5672
2022-03-04,88493.92045
2022-03-11,68306.25543
2022-03-18,50300.45247
2022-03-25,45091.19374
2022-04-01,68672.40331
2022-04-08,93247.37054
2022-04-15,92461.32174
2022-04-22,71195.36523
2022-04-29,45415.10386
2022-05-06,35019.65094
2022-05-13,30718.81082
2022-05-20,27029.23748
2022-05-27,28941.49515
2022-06-03,25484.321
2022-06-10,20622.98924
2022-06-17,30817.5365
2022-06-24,34067.08894
2022-07-01,35274.27387
2022-07-08,43040.78474
2022-07-15,52408.53398
2022-07-22,62409.46698
2022-07-29,58974.39991
2022-08-05,59584.21118
2022-08-12,62060.94416
2022-08-19,57879.49889
2022-08-26,56438.84254
2022-09-02,53132.34788
2022-09-09,45907.10134
2022-09-16,44910.50519
2022-09-23,48656.62701
2022-09-30,55855.98876
2022-10-07,58717.27664
2022-10-14,59006.96955
2022-10-21,72598.58814
2022-10-28,75764.38091
2022-11-04,76961.49096
2022-11-11,81847.33516
2022-11-18,113539.18177
2022-11-25,142987.31561
2022-12-02,124667.10354
2022-12-09,110252.74344
2022-12-16,110207.57525
2022-12-23,86481.63268
2022-12-30,69855.02575
2023-01-06,68227.38222
2023-01-13,77762.50248
2023-01-20,79309.03261
2023-01-27,71445.38163
2023-02-03,68963.93156
2023-02-10,64069.102
2023-02-17,63262.47342
2023-02-24,73492.42449
2023-03-03,84145.99205
2023-03-10,81183.28958
2023-03-17,88694.47961
2023-03-24,101627.61815
2023-03-31,79169.66563
2023-04-07,67924.16526
2023-04-14,60859.59204
2023-04-21,49732.74382
2023-04-28,44555.94198
2023-05-05,54730.40963
2023-05-12,73626.683
2023-05-19,80643.52842
2023-05-26,71642.07196
2023-06-02,54842.56567
2023-06-09,53000.32248
2023-06-16,53987.72058
2023-06-23,49893.94199
2023-06-30,47057.95193
2023-07-07,42303.38171
2023-07-14,46930.93145
2023-07-21,45155.74933
2023-07-28,32503.58024
2023-08-04,21275.11826
2023-08-11,21797.44664
2023-08-18,23413.71105
2023-08-25,26000.30632
2023-09-01,21845.97237
2023-09-08,15071.99415
2023-09-15,13240.27778
2023-09-22,15472.51987
2023-09-29,14769.53289
2023-10-06,24562.62511
2023-10-13,41449.09025
2023-10-20,68315.74832
2023-10-27,83448.61501
2023-11-03,90196.75468
2023-11-10,87008.84086
2023-11-17,73798.61349
2023-11-24,58806.19635
2023-12-01,52673.55374
2023-12-08,46465.84072
2023-12-15,41009.50203
2023-12-22,56111.00867
2023-12-29,54777.20593
2024-01-05,60855.72603
2024-01-12,76947.85635
2024-01-19,76682.99512
2024-01-26,72976.05345
2024-02-02,54919.79255
2024-02-09,53782.26172
2024-02-16,54475.32034
2024-02-23,48427.8629
2024-03-01,37440.73377
2024-03-08,44028.86762
2024-03-15,46962.1024
2024-03-22,43536.23719
2024-03-29,40457.2681
2024-04-05,40865.65355
2024-04-12,53986.64871
2024-04-19,48299.06383
2024-04-26,44732.2089
2024-05-03,46609.10177
2024-05-10,45758.36585
2024-05-17,46661.46129
2024-05-24,54146.73816
2024-05-31,57388.01363
2024-06-07,56698.60696
2024-06-14,55346.57517
2024-06-21,51145.29183
2024-06-28,44997.24524
2024-07-05,39931.4358
2024-07-12,42184.64715
2024-07-19,40179.30761
2024-07-26,36025.8647
2024-08-02,32847.02055
2024-08-09,29348.88975
2024-08-16,26635.85688
2024-08-23,28201.81601
2024-08-30,26128.18165
2024-09-06,22852.15562
2024-09-13,25522.1634
2024-09-20,23495.93892
2024-09-27,22199.5389
2024-10-04,40851.74949
2024-10-11,41746.88331
2024-10-18,44447.60982
2024-10-25,42478.33674
2024-11-01,35388.57854
2024-11-08,31117.57163
2024-11-15,26278.07887
2024-11-22,31982.39056
2024-11-29,31109.15593
2024-12-06,41849.80962
2024-12-13,38518.9359
2024-12-20,41817.66004
2024-12-27,41250.58585
2025-01-03,29819.07718
2025-01-10,26807.81028
2025-01-17,27669.14955
2025-01-24,25416.89282
2025-01-31,27351.30415
2025-02-07,29192.43401
2025-02-14,31187.68999
2025-02-21,29790.71151
2025-02-28,31427.95426
2025-03-07,29983.08396
2025-03-14,28379.84582
2025-03-21,32825.66094
2025-03-28,53159.41945
2025-04-04,52315.9139
2025-04-11,57990.95337
2025-04-18,57238.36336
2025-04-25,52675.33483
2025-05-02,48638.79283
2025-05-09,38344.30772
2025-05-16,34436.09847
2025-05-23,32220.21956
2025-05-30,33353.13389
2025-06-06,37071.82335
2025-06-13,32131.56069
2025-06-20,34369.00124
2025-06-27,36768.86246
2025-07-04,32632.98417
2025-07-11,31727.27542
2025-07-18,30394.80371
2025-07-25,27382.679
2025-08-01,38215.17367
2025-08-08,38186.18734
2025-08-15,40677.40278
2025-08-22,40748.719
2025-08-29,40966.84727
2025-09-05,36750.2299
2025-09-12,37903.47512
2025-09-19,38549.85713
2025-09-26,40748.32229
2025-10-03,40865.62648
2025-10-10,42889.40376
2025-10-17,50656.33907
2025-10-24,57641.41738
2025-10-31,66269.43394
2025-11-07,68079.76455
2025-11-14,66496.22373
2025-11-21,60668.4444
2025-11-28,62640.54503
2025-12-05,62597.85084
2025-12-12,64195.50222
2025-12-19,66680.32125
2025-12-26,67955.32823
2026-01-02,56351.54754
2026-01-09,60187.71682
2026-01-16,72593.14135
2026-01-23,92197.65534
2026-01-30,94607.43945
2026-02-06,87572.78401
2026-02-13,93383.3781
2026-02-20,91987.33985
2026-02-27,90550.07967
2026-03-06,142800.65764
2026-03-13,116186.94332
2026-03-20,181517.49247
2026-03-27,279981.54756
2026-04-03,264245.51138
2026-04-10,224079.51709
2026-04-17,140957.0024
2026-04-24,121942.55867
2026-05-01,130499.98314
2026-05-08,100430.18793
2026-05-15,72108.09641
2026-05-22,67290.57271
2026-05-29,45237.1263
2026-06-05,62075.78459
2026-06-12,46906.07327
2026-06-19,45225.28986
2026-06-26,46270.86619
2026-07-03,41717.81031
2026-07-10,60367.15991
2026-07-17,105541.45602
2026-07-24,127384.07383
2026-07-31,110865.69491
2026-08-07,99820.11689
2026-08-14,95666.92824
2026-08-21,99025.11764
2026-08-28,85834.48441
2026-09-04,77050.55995
2026-09-11,149348.18067
