Date,Average Weighted Clean Product Tanker Earnings $/day [51067],Average MR Clean c.2010-built Earnings $/day [545055]
2000-03-31,13985.03378,
2000-04-07,14116.89366,
2000-04-14,14223.86688,
2000-04-21,14743.20641,
2000-04-28,14990.41693,
2000-05-05,15492.02828,
2000-05-12,15553.91736,
2000-05-19,15554.32773,
2000-05-26,15638.28014,
2000-06-02,15486.28018,
2000-06-09,15543.69712,
2000-06-16,15770.72886,
2000-06-23,17041.16301,
2000-06-30,17772.62199,
2000-07-07,17594.77853,
2000-07-14,18270.64655,
2000-07-21,19141.67583,
2000-07-28,19066.21563,
2000-08-04,19495.12629,
2000-08-11,19609.61484,
2000-08-18,20385.83909,
2000-08-25,20446.51799,
2000-09-01,19960.15327,
2000-09-08,20138.51941,
2000-09-15,20144.13682,
2000-09-22,20191.86731,
2000-09-29,19899.8319,
2000-10-06,20350.82278,
2000-10-13,20198.94531,
2000-10-20,20422.40575,
2000-10-27,21131.35192,
2000-11-03,22112.66327,
2000-11-10,22944.11634,
2000-11-17,24135.26242,
2000-11-24,25816.0019,
2000-12-01,31090.14878,
2000-12-08,33163.51992,
2000-12-15,36449.50762,
2000-12-22,37703.27057,
2000-12-29,37894.30648,
2001-01-05,42698.46876,
2001-01-12,43545.78604,
2001-01-19,44091.47793,
2001-01-26,43504.67378,
2001-02-02,42979.12891,
2001-02-09,41414.99392,
2001-02-16,40694.83728,
2001-02-23,38304.42328,
2001-03-02,36216.53626,
2001-03-09,33445.01264,
2001-03-16,29121.79371,
2001-03-23,26107.6182,
2001-03-30,25550.96784,
2001-04-06,24806.2523,
2001-04-13,25543.23858,
2001-04-20,24793.2418,
2001-04-27,24897.63874,
2001-05-04,25813.79437,
2001-05-11,26192.28612,
2001-05-18,26328.14234,
2001-05-25,26574.34543,
2001-06-01,26132.77206,
2001-06-08,26172.61646,
2001-06-15,25770.91631,
2001-06-22,25502.27428,
2001-06-29,24974.05161,
2001-07-06,23227.21376,
2001-07-13,21844.97353,
2001-07-20,21110.0031,
2001-07-27,20858.09434,
2001-08-03,20418.23406,
2001-08-10,19371.12065,
2001-08-17,19170.88854,
2001-08-24,18782.45697,
2001-08-31,18562.93981,
2001-09-07,17914.42949,
2001-09-14,17171.25344,
2001-09-21,18915.44521,
2001-09-28,19926.863,
2001-10-05,20704.89499,
2001-10-12,19662.8511,
